timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
4016994268,0.42773837,-0.043834124,-0.09974497,-0.8973123,1.4059325,0.8643358,8.705302,18.020004,-51.87489,-36.106068,0
4017027602,0.40987638,-0.043368895,-0.098865874,-0.9057297,1.5455846,0.92253387,9.010791,-7.6721287,-2.476915,-67.32256,0
4017060936,0.38654792,-0.044614412,-0.099077694,-0.91584593,1.3641642,1.5393875,9.755211,-8.011414,-10.930909,-86.334274,0
4017094270,0.36447027,-0.046716932,-0.09673493,-0.924998,1.3603343,1.6446294,9.309953,-16.69198,-9.979555,-80.42458,0
4017127604,0.3419747,-0.04374078,-0.08824078,-0.9345339,1.4558271,1.2131867,9.108008,-30.100172,13.801772,-82.93794,0
4017160938,0.31377235,-0.03077388,-0.07212568,-0.9462546,0.8281977,1.0796019,9.36636,-44.331074,53.46806,-105.7475,0
4017194272,0.2880211,-0.0105511965,-0.052239727,-0.95614,0.3192135,1.1818422,9.633675,-48.041004,81.52165,-97.197205,0
4017227606,0.2735635,0.0029145558,-0.039551333,-0.961036,0.22836736,1.1299524,9.883946,-29.772072,53.966053,-54.16344,0
4017260940,0.26773494,0.015031409,-0.030238621,-0.9629007,0.16380444,0.7118353,9.453203,-19.592972,47.549995,-22.588465,0
4017294274,0.26475927,0.032810155,-0.020439839,-0.9635394,-0.45788032,0.7630345,9.702869,-16.021597,67.1244,-12.634302,0
4017327608,0.2648866,0.0561963,-0.012593284,-0.9625585,-0.87696856,0.61001045,9.702656,-4.7109437,84.31061,-1.0576804,0
4017360942,0.26653868,0.07599132,-0.008342292,-0.9607878,-1.4492329,0.6966502,9.972976,3.6399386,69.359695,5.5560083,0
4017394276,0.27206382,0.08552192,-0.010020258,-0.9584189,-1.778654,0.7743766,10.0817375,12.798142,30.262257,20.738626,0
4017427610,0.28316492,0.089595415,-0.019156668,-0.95468515,-2.0249927,0.8095473,9.707074,30.650864,5.868175,42.77172,0
4017460944,0.29815724,0.09299571,-0.034225024,-0.9493592,-1.7583897,1.2704054,9.824763,48.34639,-1.4101268,58.977173,0
4017494278,0.315167,0.09241991,-0.051671576,-0.94311124,-1.8465344,1.4594932,9.678579,51.455013,-16.302986,67.746704,0
4017527612,0.3390399,0.082628235,-0.07256492,-0.9343228,-1.5051053,2.1671138,9.897653,50.876125,-47.93157,95.51183,0
4017560946,0.3687807,0.06941535,-0.098624825,-0.92165923,-0.9682007,2.1541252,9.38421,62.720646,-62.388737,121.2339,0
4017594280,0.39418498,0.06001307,-0.1176224,-0.9094955,-0.14874995,2.3102858,9.351584,46.00803,-42.923775,103.88656,0
4017627614,0.4107947,0.047194615,-0.13676828,-0.9001751,-0.3617116,2.5226047,9.202317,42.4942,-57.91432,73.949715,0
4017660948,0.43229255,0.033692535,-0.15092292,-0.8883752,0.19403186,2.311704,8.887284,26.464785,-50.315434,92.12067,0
4017694282,0.44664773,0.016558329,-0.1591747,-0.8802814,0.7942752,2.332055,9.062566,1.987601,-56.787823,66.00546,0
4017727616,0.4500608,0.0062067625,-0.16195773,-0.87816656,0.92125857,2.3117309,8.832675,-6.728857,-34.17028,19.674187,0
4017760950,0.4521374,-0.0028889903,-0.16114773,-0.8772657,1.2086947,2.6189537,8.892422,-16.24456,-25.623316,12.98691,0
4017794284,0.44637176,-0.00789641,-0.15303212,-0.8816298,1.3484159,2.679157,9.066122,-34.9067,-6.235926,-21.046856,0
4017827618,0.43685335,-0.0137172835,-0.1427973,-0.8880202,1.3792529,2.7032628,9.114955,-43.75495,-7.3718905,-35.05526,0
4017860952,0.42463747,-0.018904507,-0.1285487,-0.89599156,1.2272918,2.3446157,9.192691,-55.981346,-0.6650251,-45.79767,0
4017894286,0.40827438,-0.027184844,-0.10543044,-0.90634304,1.1940479,1.8443633,9.0027485,-89.147156,1.0541247,-60.12435,0
4017927620,0.39290616,-0.027460935,-0.067890085,-0.91665804,0.87665963,1.3024458,8.760091,-122.75958,46.594982,-58.562508,0
4017960954,0.38048407,-0.012012321,-0.025291394,-0.92436373,0.35425204,1.0333029,9.648357,-116.58072,103.42043,-48.98095,0
4017994288,0.3810355,0.006224888,0.008584653,-0.9244997,-0.18691099,0.66297543,10.597028,-84.04203,101.63683,1.5296998,0
4018027622,0.40007266,0.024453314,0.0130665405,-0.91606396,-0.48399138,0.17390151,10.890198,8.562977,62.668877,74.56065,0
4018060956,0.4272004,0.036968023,-0.002561216,-0.9033974,-0.70326144,0.5043115,10.849644,63.079304,17.08872,107.13495,0
4018094290,0.4594936,0.035250004,-0.034528114,-0.8868095,-0.7794937,1.1970891,10.229939,92.33548,-50.53852,129.89156,0
4018127624,0.4890676,0.030680073,-0.07006148,-0.8688862,-0.3293807,1.3208871,10.328798,99.18254,-65.08444,123.61901,0
4018160958,0.51948696,0.018876217,-0.11650607,-0.8462881,0.3344704,2.094862,9.593358,120.65829,-104.36814,136.98299,0
4018194292,0.54938424,0.010527247,-0.15102209,-0.8217413,0.90424806,1.8484688,8.347476,92.855774,-73.035255,136.81436,0
4018227626,0.5630676,0.011599489,-0.16693328,-0.8092921,1.3132286,2.4278154,8.853224,52.39192,-20.079268,62.564697,0
4018260960,0.57400733,0.011844499,-0.18232676,-0.79820585,1.4679841,2.796698,8.943619,48.67735,-23.008257,52.763596,0
4018294294,0.58047533,0.010130908,-0.19280642,-0.7910573,1.7856246,2.4584365,8.624286,29.06464,-21.652815,33.758408,0
4018327628,0.57563084,0.009512482,-0.18752718,-0.7958594,1.6176134,2.5542867,8.476027,-19.071459,4.856385,-22.13951,0
4018360962,0.5578294,0.004868515,-0.16481222,-0.8134124,1.6620301,2.4848692,8.496618,-82.50316,19.548304,-80.82776,0
4018394296,0.5309797,-0.0060405107,-0.1279516,-0.8376472,1.5402397,2.743179,8.987951,-137.72084,23.902205,-115.6988,0
4018427630,0.5099883,-0.021459226,-0.09135701,-0.8550471,1.4121674,2.3916268,9.621963,-142.08812,12.847207,-84.3846,0
4018460964,0.49226245,-0.03095662,-0.053483333,-0.8682506,1.2429687,1.0628669,8.913159,-133.93652,33.205734,-69.219,0
4018494298,0.4675415,-0.024138948,0.008127108,-0.8836043,0.6582276,0.120182246,8.341585,-178.39513,121.11342,-94.3112,0
4018527632,0.44427007,-0.010930624,0.08443682,-0.8918382,-0.31398636,-0.42324394,9.1068125,-212.93256,163.59726,-77.142296,0
4018560966,0.43382743,0.0006071479,0.15738367,-0.88714355,-1.5004646,-2.0896754,9.5876045,-208.42622,149.06601,-18.688448,0
4018594300,0.4270329,0.017630285,0.22033353,-0.876804,-2.567333,-3.1410754,8.573411,-172.72276,148.85388,3.783865,0
4018627634,0.42043826,0.04368863,0.28380322,-0.860685,-3.205514,-4.0060577,9.226561,-165.39105,177.03398,19.606945,0
4018660968,0.42171547,0.057380628,0.31066984,-0.84991044,-3.791343,-5.038783,11.038511,-70.84247,78.952545,28.537613,0
4018694302,0.4373774,0.07117612,0.27986574,-0.8516515,-3.530857,-5.079863,10.572535,108.26316,-22.108671,63.930763,0
4018727636,0.4557762,0.0829215,0.21603012,-0.8594901,-3.1902535,-4.258825,9.282793,207.17711,-81.871666,69.00869,0
4018760970,0.47820762,0.083112024,0.12788212,-0.86490244,-3.1910148,-1.6850343,9.935861,258.15167,-156.51997,83.22655,0
4018794304,0.50364,0.058639895,0.044803724,-0.86075616,-2.51179,-0.38089013,9.551659,197.3017,-220.19432,95.65384,0
4018827638,0.53021055,0.037923675,-0.02941945,-0.84650666,-0.94007325,0.66727275,7.265669,175.69833,-191.82816,115.39135,0
4018860972,0.553661,0.02636681,-0.06326194,-0.8299171,-0.35634407,1.9117184,8.6739435,75.30777,-91.382996,104.35637,0
4018894306,0.5697796,0.013264886,-0.08057771,-0.8177301,0.16850981,1.5175086,9.068622,24.821875,-66.30958,73.9133,0
4018927640,0.57171965,0.0029431384,-0.09636596,-0.81476474,0.9391633,1.0689939,9.665327,24.077751,-59.843033,15.172427,0
4018960974,0.56852907,-0.00063888927,-0.11497819,-0.81458867,1.324586,1.482635,8.951365,44.41523,-48.223003,-6.875946,0
4018994308,0.5626954,0.004817909,-0.13143073,-0.8161354,1.3815337,1.7671973,8.839904,55.37588,-19.709755,-21.208858,0
4019027642,0.55251396,0.014983022,-0.13801257,-0.82186157,1.4701849,2.2351685,9.155058,34.9905,10.569216,-43.785446,0
4019060976,0.5297866,0.030698983,-0.13390349,-0.8369312,0.9786128,1.9144404,8.583102,11.5636635,40.133224,-100.19458,0
4019094310,0.47032037,0.05590946,-0.0908386,-0.8760259,0.081887364,0.52926207,7.6259327,-90.4525,119.035416,-258.47177,0
4019127644,0.37348187,0.08650549,0.043321874,-0.9225788,0.16416928,-0.98497146,4.3432875,-352.70523,270.6265,-404.06573,0
4019160978,0.30397305,0.13228747,0.21822874,-0.9178653,-3.544499,0.5154767,10.611603,-479.20816,383.3847,-261.34882,0
4019194312,0.29973468,0.14392467,0.3117674,-0.890082,-4.468823,-4.113702,11.290884,-302.90253,149.95535,-18.174881,0
4019227646,0.30221188,0.14281707,0.36317724,-0.8696976,-3.641969,-6.5859222,7.3706913,-182.13693,56.605366,1.9711818,0
4019260980,0.30073667,0.14993589,0.3959818,-0.8545614,-4.9474497,-5.7097445,7.5019608,-109.32058,64.29274,4.195496,0
4019294314,0.3060585,0.15227656,0.41657975,-0.84237844,-4.8777504,-6.0236254,6.98434,-77.91644,26.881,20.87721,0
4019327648,0.3098019,0.15155677,0.43191385,-0.833369,-5.513885,-6.3777027,6.0689754,-60.538208,13.117024,11.3518,0
4019360982,0.3109759,0.14177379,0.44708607,-0.82662475,-5.5253935,-6.504788,4.987273,-65.00344,-10.405829,-11.795669,0
4019394316,0.29989636,0.14024302,0.47202605,-0.8170592,-5.677515,-6.4689403,4.5593877,-82.25314,43.640095,-35.696896,0
4019427650,0.287316,0.13584375,0.51303697,-0.79736394,-5.1528153,-6.9243517,3.7447884,-146.05843,59.43082,-41.91836,0
4019460984,0.27236447,0.12843968,0.55771434,-0.7734829,-4.896033,-7.959299,3.577908,-165.30975,60.93578,-51.30124,0
4019494318,0.25423166,0.11045519,0.60607475,-0.7455465,-3.6088345,-7.8295217,1.4706478,-191.38931,44.1509,-77.879166,0
4019527652,0.19873899,0.07949955,0.68811154,-0.6933147,-4.5314026,-10.082682,1.6913357,-325.9289,127.64016,-192.49095,0
4019560986,0.12365428,0.07160035,0.7024241,-0.69726866,-3.7163827,-12.643375,1.2894001,-9.874787,167.25089,-204.28436,0
4019594320,0.05653861,0.03483555,0.6941561,-0.7167546,-3.4375796,-10.281722,1.9046764,67.54673,65.32345,-255.96648,0
4019627654,0.05411425,0.016995072,0.64299506,-0.763767,-1.6793658,-10.473879,2.4796865,234.81696,-54.171616,-51.52598,0
4019660988,0.06123478,0.04169799,0.53445435,-0.84194434,-1.4910119,-10.644709,3.1734233,462.8867,24.038584,65.379906,0
4019694322,0.066585705,0.036375284,0.41778177,-0.90537375,-2.1973763,-7.200117,3.215125,453.1885,-59.518745,9.174335,0
4019727656,0.09076178,-0.0005390184,0.33419433,-0.9381238,-3.3128252,-7.0100837,6.2075005,295.81482,-173.70485,25.27304,0
4019760990,0.13257287,-0.032436457,0.24939546,-0.95873576,-1.9640971,-6.1220083,6.3259087,287.40613,-178.37828,91.780464,0
4019794324,0.1760472,-0.047496684,0.16580887,-0.9691537,-1.5857031,-5.1751633,8.358203,282.54535,-124.905914,116.536064,0
4019827658,0.21663988,-0.05056907,0.10840926,-0.96889496,-1.6574771,-3.8434987,9.158151,195.77077,-69.22325,124.4711,0
4019860992,0.255903,-0.08566792,0.06145499,-0.96093607,-0.71388894,-3.039212,10.540731,133.68011,-168.87718,113.11373,0
4019894326,0.28228918,-0.11601396,0.025863588,-0.9519375,0.349517,-1.4372392,10.463278,96.5064,-141.10086,78.10432,0
4019927660,0.29766572,-0.1447625,0.011726693,-0.94355804,1.1121461,-1.538251,10.0079155,24.524132,-114.02465,54.09839,0
4019960994,0.29788765,-0.1756793,0.003689646,-0.938289,2.0305545,-1.7892547,10.062076,-5.9343925,-112.57826,1.026219,0
4019994328,0.31637466,-0.21627662,-0.03469766,-0.92299926,1.5865909,-1.6792431,10.250697,93.03228,-181.3166,51.783516,0
4020027662,0.36795282,-0.24966332,-0.0748532,-0.89256716,5.0632467,-0.9676522,7.549799,132.92169,-167.88535,171.2623,0
4020060996,0.38123834,-0.24934058,-0.07468603,-0.88707876,4.7080827,-0.9616388,7.947275,12.381034,-1.5878887,47.994854,0
4020094330,0.3965223,-0.24347438,-0.06255592,-0.88293666,3.7293816,-0.6618223,8.665255,-15.4874115,32.649265,61.141594,0
4020127664,0.40682372,-0.22194447,-0.038643103,-0.885292,4.1067653,-1.2109473,8.289181,-35.49894,100.61251,43.63004,0
4020160998,0.40136838,-0.17183527,0.0032495426,-0.8996476,3.3505626,-1.5932211,7.3726144,-63.88502,219.97028,-11.254169,0
4020194332,0.36799216,-0.07790394,0.082712024,-0.92286056,0.39452547,-1.8167211,5.9653015,-136.24011,413.93402,-87.45111,0
4020227666,0.3346895,0.005468626,0.1762224,-0.9256884,-1.2581234,-1.2956717,9.019097,-200.01674,392.63916,-60.68057,0
4020261000,0.32636705,0.068811096,0.2532298,-0.9080883,-2.7984204,-3.3752875,10.129545,-183.1633,294.56406,30.604439,0
4020294334,0.31518033,0.12769467,0.3134017,-0.8866426,-3.9103818,-5.2165737,7.4226584,-138.11198,265.03403,25.98675,0
4020327668,0.29226086,0.2059005,0.3503703,-0.8656959,-4.5499077,-4.9101243,7.169481,-40.52577,311.31277,20.701763,0
4020361002,0.2779777,0.26115495,0.34858796,-0.85616183,-7.1526527,-5.7762837,9.727233,59.46812,185.30594,34.769745,0
4020394336,0.26387462,0.2946605,0.31841406,-0.86148596,-4.9588623,-3.1716003,7.734315,139.86626,80.638,20.61068,0
4020427670,0.2644678,0.30392662,0.28812844,-0.86871606,-7.116243,-4.2881,7.0769277,105.28051,-9.192279,36.02033,0
4020461004,0.25789234,0.3152039,0.25708592,-0.8763819,-5.9824705,-3.807001,6.1332393,117.30441,2.78527,17.07386,0
4020494338,0.24607001,0.33482444,0.21788925,-0.8831005,-6.431665,-2.1834373,6.7735095,154.17224,26.377157,18.413965,0
4020527672,0.23929007,0.3665608,0.16803624,-0.88325393,-5.36365,-2.3270154,6.253989,186.06735,57.985172,60.68888,0
4020561006,0.21236743,0.41549197,0.12781851,-0.87517375,-5.9792747,-1.5079646,5.6896257,191.65546,140.26607,4.183836,0
4020594340,0.19541939,0.44164175,0.12557669,-0.8665993,-6.7281523,-0.56543654,7.174273,46.1721,95.7478,-29.632544,0
4020627674,0.20541123,0.45162886,0.14951117,-0.8552684,-7.0660386,-0.65549135,5.200611,-84.799515,57.821083,5.7556496,0
4020661008,0.21935569,0.46818364,0.1899873,-0.8346209,-7.4453697,-2.682606,3.1908252,-139.75874,101.26569,1.6613259,0
4020694342,0.20642368,0.50554353,0.2347596,-0.8041785,-8.056835,-2.1682284,3.6321712,-99.499,197.54247,-61.349606,0
4020727676,0.23199727,0.49191082,0.29299012,-0.7863574,-11.860087,-2.9172378,5.3575506,-229.72577,12.969225,-28.398712,0
4020761010,0.30432907,0.41953713,0.34457764,-0.7827125,-10.161484,-1.7094384,2.4930463,-323.93713,-222.7204,38.774837,0
4020794344,0.37963238,0.3248892,0.3634603,-0.7862717,-9.434106,-2.8210561,5.0549054,-254.91856,-331.20517,59.91798,0
4020827678,0.41662556,0.2599791,0.31762898,-0.8111388,-8.039441,-3.131482,7.615261,28.842312,-310.78247,37.793552,0
4020861012,0.42013958,0.20670177,0.2723543,-0.84058326,-7.5001583,-1.1573426,6.6684346,78.84716,-244.86491,-50.054718,0
4020894346,0.403555,0.14727949,0.23258512,-0.8725574,-7.043008,-2.9505167,7.9411206,70.67542,-237.75175,-121.59118,0
4020927680,0.3483216,0.091468416,0.16866472,-0.91752833,-5.3289766,-1.7243288,8.725882,178.4115,-236.39987,-240.79666,0
4020961014,0.2892116,0.04874873,0.1440262,-0.945112,-4.4184556,0.21312855,7.475944,61.01171,-140.11296,-236.76682,0
4020994348,0.24668218,0.025281034,0.12931831,-0.9600967,-3.1401274,-2.3688622,8.352368,38.813118,-73.77621,-162.35382,0
4021027682,0.21141016,0.018071042,0.1150125,-0.9704388,-2.463127,-2.4571612,9.522225,48.654457,-22.64788,-127.23965,0
4021061016,0.18634431,-0.0011469279,0.103260726,-0.9770423,-2.1132355,-2.3286486,8.726967,29.338818,-64.71768,-95.37551,0
4021094350,0.19975604,-0.02663146,0.08046443,-0.976173,-0.8807198,-2.5274997,8.768301,59.951187,-106.59585,36.40017,0
4021127684,0.24337788,-0.057761323,0.04990806,-0.966923,-0.54368556,-2.105613,9.258939,82.568214,-140.11143,141.35524,0
4021161018,0.29164317,-0.094485894,0.022992276,-0.9515714,0.8561803,-1.4957093,8.972186,65.21583,-157.75479,159.8298,0
4021194352,0.3180339,-0.12155253,0.01619198,-0.9401155,1.2930595,-1.3541692,9.332825,4.0931144,-102.92342,99.270584,0
4021227686,0.33699277,-0.15747498,0.019626591,-0.9280369,1.9883043,-1.070312,9.242307,-42.7579,-120.27283,75.9726,0
4021261020,0.34874216,-0.17410606,0.03531033,-0.9202279,3.6213439,-1.8505244,9.019448,-63.840195,-41.61707,53.875732,0
4021294354,0.37069967,-0.162063,0.054864917,-0.9128567,2.323753,-3.0580022,7.120117,-35.55411,52.845528,91.42967,0
4021327688,0.4080029,-0.10765011,0.11205589,-0.8996603,1.7239765,-2.832626,6.5421224,-92.30125,227.95537,176.13496,0
4021361022,0.4424289,-0.0026236784,0.17026833,-0.88048774,-0.22666758,-2.9220965,10.212639,-27.773874,385.59616,195.76323,0
4021394356,0.44329223,0.104355924,0.2135916,-0.86428046,-1.3094862,-3.103029,10.0033865,21.818092,388.43097,90.3521,0
4021427690,0.40622038,0.20622376,0.2535139,-0.8533392,-3.7792077,-3.8884816,8.954834,41.72334,394.11,-33.141598,0
4021461024,0.3678235,0.28007996,0.27280465,-0.8437054,-6.084594,-4.2358294,8.622175,65.29741,282.8701,-48.527264,0
4021494358,0.34958586,0.30463222,0.27500358,-0.84223646,-6.579386,-2.6484509,6.1652164,40.755753,91.1937,-30.023296,0
4021527692,0.33588707,0.33890468,0.27995527,-0.83303577,-6.5025253,-2.7275317,5.4190526,32.43136,126.46766,-1.2363083,0
4021561026,0.32185596,0.37883997,0.2873929,-0.8187151,-7.4158316,-2.3631241,5.229405,27.327272,151.86652,6.3276353,0
4021594360,0.30877197,0.4198763,0.2921876,-0.8018667,-9.23032,-1.5523238,4.7971563,32.25263,154.39334,16.345425,0
4021627694,0.2990233,0.45631054,0.28736663,-0.7872651,-9.152827,-1.6702864,3.5613418,51.30315,124.85828,32.400425,0
4021661028,0.29123467,0.4842263,0.2841915,-0.7745596,-9.438762,-1.771099,2.5306668,36.883602,98.5236,24.770908,0
4021694362,0.28124228,0.51809615,0.28299648,-0.75656605,-9.040485,-1.3078246,1.4627199,36.08344,127.27142,26.740612,0
4021727696,0.26899102,0.55914354,0.27332208,-0.73504925,-9.85704,-0.8978665,1.3955171,65.68465,146.17537,46.39041,0
4021761030,0.26084137,0.5977788,0.25409475,-0.7141837,-9.772709,-0.70060873,1.4540553,80.3037,126.08876,72.290215,0
4021794364,0.2602883,0.6345232,0.2211949,-0.6933277,-9.82068,-0.5915965,0.5404105,96.53915,102.52181,117.448845,0
4021827698,0.26646888,0.659997,0.18831961,-0.6767082,-10.445206,-0.14170876,0.9088218,74.84875,61.28753,121.13372,0
