timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
145606095,0.83725876,0.13475686,-0.17247999,0.50108784,4.1495004,0.9930405,8.663554,-12.159329,-5.3453016,2.6353712,0
145639429,0.83682567,0.13480495,-0.17394333,0.5012925,4.3592777,0.94933105,8.509202,-2.7102218,-4.8050213,2.241173,0
145672763,0.8362834,0.13504152,-0.17517905,0.50170326,4.3666315,0.8524224,8.84075,-1.6507328,-4.386228,2.8224087,0
145706097,0.8358101,0.13616453,-0.17591001,0.50193286,4.508732,0.71260935,8.5060835,1.6024879,-4.467541,1.4246268,0
145739431,0.8353708,0.13668787,-0.17539433,0.5027019,4.5936418,0.72939056,8.835666,2.3260076,0.4971073,2.697789,0
145772765,0.8349617,0.1348799,-0.17646405,0.50349474,4.555518,0.8175574,9.481951,-7.1223288,0.04239866,4.8674006,0
145806099,0.8342993,0.1303737,-0.17984916,0.5045808,4.603346,0.7883729,9.665567,-18.607487,-1.9449502,8.868748,0
145839433,0.83296335,0.12625197,-0.18456696,0.50613034,4.296315,0.4525503,9.58773,-19.25021,-6.653116,11.737037,0
145872767,0.83134884,0.12544703,-0.18830273,0.50760645,4.501152,0.4627247,9.278848,-7.9726334,-9.854565,9.484182,0
145906101,0.82982963,0.12631711,-0.18994382,0.5092626,4.579076,0.2823047,9.024286,0.53061587,-6.6383667,7.8537135,0
145939435,0.8286121,0.13045205,-0.18884571,0.51060915,4.5404434,0.3259985,8.7322235,14.312818,-4.4586477,3.1190255,0
145972769,0.82821876,0.13426237,-0.18484709,0.51172185,4.6330676,0.57030034,8.70196,17.946123,4.841538,-0.079963244,0
146006103,0.82851654,0.1364012,-0.1774774,0.5132806,4.294161,0.32148427,8.302399,19.066805,18.0648,-0.51937926,0
146039437,0.82913095,0.13995966,-0.16661122,0.51496977,4.00969,0.3773746,8.079706,29.231506,25.803751,-3.2332249,0
146072771,0.83009154,0.14184673,-0.15514402,0.51648635,4.0180473,0.7167865,8.328827,25.280148,30.618563,-3.6902962,0
146106105,0.83162427,0.14045922,-0.14563867,0.51716703,3.37242,0.49442905,8.513655,11.730923,30.746527,-4.403819,0
146139439,0.8331384,0.14110932,-0.13985719,0.5161478,2.958242,0.36422017,8.339176,10.142359,15.591731,-8.476599,0
146172773,0.8344938,0.14054991,-0.1361628,0.5150977,3.1563973,0.6371345,8.644004,3.0935323,11.610732,-6.710545,0
146206107,0.83528686,0.13817547,-0.13798623,0.5139684,3.0996418,0.7171667,9.010061,-11.615134,-1.3627841,-2.4357793,0
146239441,0.8350594,0.1359537,-0.14157073,0.5139555,3.4902992,0.6280927,8.538281,-13.241534,-6.6917434,3.329313,0
146272775,0.8351425,0.13243154,-0.14333414,0.5142511,3.5474367,0.76575327,8.835765,-13.731744,1.1360129,3.4394655,0
146306109,0.8358648,0.12703335,-0.14496128,0.51398325,3.6119847,0.7486654,9.0709715,-19.442493,4.8926005,1.5521224,0
146339443,0.8363073,0.11697149,-0.14747696,0.5149353,3.859718,0.6909201,9.162574,-33.69127,10.978573,8.263468,0
146372777,0.83598274,0.10143642,-0.15120907,0.51766706,3.3674927,0.2157646,9.076692,-50.3808,17.514503,18.00036,0
146406111,0.8355697,0.08679971,-0.15051053,0.521187,3.080923,-0.43077865,8.475446,-39.4455,28.856068,18.393887,0
146439445,0.83570063,0.074645504,-0.14436324,0.5245875,3.602175,-0.12975901,8.875999,-22.73331,40.31779,14.142433,0
146472779,0.836022,0.062812544,-0.13945368,0.52694845,3.188766,-0.46370643,9.164199,-24.609776,36.065132,10.966292,0
146506113,0.83687204,0.05158175,-0.1333077,0.52840686,2.6634476,-0.58510464,8.831221,-21.164051,38.606075,6.848032,0
146539447,0.83793724,0.04212208,-0.123432815,0.52995425,2.3194234,-0.757429,8.783699,-9.267795,46.22578,5.2272086,0
146572781,0.83909947,0.03409881,-0.11204318,0.5312213,2.260402,-0.7077634,8.836125,-2.4762013,47.970158,3.4016922,0
146606115,0.8402178,0.028457703,-0.100380674,0.5321167,1.906193,-0.7162289,8.98026,4.777584,44.352703,1.4514707,0
146639449,0.8411468,0.02566101,-0.09093755,0.53248847,1.5921258,-0.6824984,9.21615,8.792062,32.614895,-0.4864314,0
146672783,0.841796,0.025721362,-0.082688786,0.5328044,1.3166409,-0.6671242,9.149337,14.8998,23.80955,-0.93102556,0
146706117,0.84280175,0.026397647,-0.072532766,0.53266066,1.3553882,-0.46055132,9.131732,20.036222,28.230377,-3.264003,0
146739451,0.84391624,0.026190987,-0.06165808,0.53227615,1.3292598,-0.29154,9.390139,18.734747,31.92924,-4.0076585,0
146772785,0.84504354,0.025358073,-0.052587114,0.53150094,1.0164475,-0.16169482,9.618274,13.53953,27.805824,-4.870015,0
146806119,0.8461119,0.023396363,-0.04530237,0.53056127,0.818191,0.0067357942,9.851579,6.970675,24.628855,-4.8800282,0
146839453,0.8466152,0.020484488,-0.039889153,0.5303134,0.7653821,-0.05282042,9.5886755,0.93240714,20.862556,-1.5368738,0
146872787,0.84675413,0.019884314,-0.033254616,0.5305717,0.6024995,-0.06642634,9.327,9.986178,20.169853,0.1974081,0
146906121,0.8466887,0.019637443,-0.02431052,0.5311703,0.58934605,0.10335781,9.598029,15.28011,26.233057,1.3633081,0
146939455,0.84690577,0.01895017,-0.015897082,0.53116757,0.41726774,0.029579502,9.763019,12.956113,25.471088,-0.8288173,0
146972789,0.8470193,0.019958152,-0.008116833,0.5311253,0.24554394,0.14777823,9.530538,16.751007,20.51318,-0.8065326,0
147006123,0.8469703,0.020158945,0.0021979932,0.5312535,0.086467475,0.29166925,9.715164,19.048815,29.36024,-0.16286756,0
147039457,0.846723,0.01853269,0.011620071,0.53158396,-0.07112636,0.38845763,10.100367,12.112734,30.098616,0.83716995,0
147072791,0.84648514,0.016835636,0.019011358,0.53180665,-0.24198592,0.36497018,10.028815,8.205211,24.295578,0.6343076,0
147106125,0.846207,0.014733995,0.027358845,0.5319473,-0.43152374,0.44620138,9.996604,8.794114,27.799862,0.38880226,0
